ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,$9.67,0.00,0.00%,417018750.00,,2021,28,,,/market-activity/stocks/acro
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,$28.12,-0.34,-1.195%,291152230.00,United States,2015,69285,Finance,Finance/Investors Services,/market-activity/stocks/acv
ADC,Agree Realty Corporation Common Stock,$64.75,0.09,0.139%,4615723887.00,United States,,214461,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/adc
ADCT,ADC Therapeutics SA Common Shares,$15.76,-0.89,-5.345%,1209133945.00,,2020,75904,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/adct
ADEX,Adit EdTech Acquisition Corp. Common Stock,$9.8701,-0.0199,-0.201%,340518450.00,,2021,381,,,/market-activity/stocks/adex
ADM,Archer-Daniels-Midland Company Common Stock,$76.40,0.87,1.152%,42749741476.00,United States,,1496606,,,/market-activity/stocks/adm
ADNT,Adient plc Ordinary Shares ,$43.79,0.79,1.837%,4149819736.00,,2016,430180,Capital Goods,Auto Parts:O.E.M.,/market-activity/stocks/adnt
ADS,Alliance Data Systems Corporation Common Stock,$69.865,0.115,0.165%,3478236640.00,United States,2001,453110,Finance,Diversified Financial Services,/market-activity/stocks/ads
ADT,ADT Inc. Common Stock,$7.68,-0.07,-0.903%,6384158792.00,United States,2018,898611,Consumer Services,Diversified Commercial Services,/market-activity/stocks/adt
ADX,Adams Diversified Equity Fund Inc.,$18.73,0.16,0.862%,2079537976.00,United States,,128473,Finance,Investment Managers,/market-activity/stocks/adx
AEE,Ameren Corporation Common Stock,$88.66,1.07,1.222%,22839364894.00,United States,,588085,Public Utilities,Power Generation,/market-activity/stocks/aee
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$25.46,-0.25,-0.972%,0.00,,2019,48308,,,/market-activity/stocks/aefc
AEG,AEGON N.V. Common Stock,$5.975,0.175,3.017%,11945441362.00,Netherlands,,2383042,Finance,Life Insurance,/market-activity/stocks/aeg
AEL,American Equity Investment Life Holding Company Common Stock,$41.29,-0.05,-0.121%,4099622867.00,United States,2003,212745,Finance,Life Insurance,/market-activity/stocks/ael
AEM,Agnico Eagle Mines Limited Common Stock,$49.065,1.175,2.454%,12014366334.00,Canada,,1267010,,,/market-activity/stocks/aem
AENZ,Aenza S.A.A. American Depositary Shares,$1.82,0.00,0.00%,317378099.00,,2018,505,Basic Industries,Military/Government/Technical,/market-activity/stocks/aenz
AEO,American Eagle Outfitters Inc. Common Stock,$22.88,-0.37,-1.591%,3858063604.00,United States,,2855253,Consumer Services,Clothing/Shoe/Accessory Stores,/market-activity/stocks/aeo
AER,AerCap Holdings N.V. Ordinary Shares,$63.95,-0.46,-0.714%,15660004888.00,Netherlands,2006,427636,Technology,Diversified Commercial Services,/market-activity/stocks/aer
AES,The AES Corporation Common Stock,$22.225,0.065,0.293%,14817714850.00,United States,,3765887,Public Utilities,Electric Utilities: Central,/market-activity/stocks/aes
AESC,The AES Corporation Corporate Units,$90.99,-0.23,-0.252%,0.00,United States,,10759,Public Utilities,Electric Utilities: Central,/market-activity/stocks/aesc
AEVA,Aeva Technologies Inc. Common Stock,$5.26,-0.18,-3.309%,1125684379.00,,2020,967189,Capital Goods,Auto Parts:O.E.M.,/market-activity/stocks/aeva
AFB,AllianceBernstein National Municipal Income Fund Inc,$13.708,0.078,0.572%,394035583.00,United States,2002,33098,Finance,Trusts Except Educational Religious and Charitable,/market-activity/stocks/afb
AFG,American Financial Group Inc. Common Stock,$133.11,1.77,1.348%,11288777173.00,United States,,93496,Finance,Property-Casualty Insurers,/market-activity/stocks/afg
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,$26.71,0.22,0.831%,0.00,United States,2019,5879,Finance,Property-Casualty Insurers,/market-activity/stocks/afgb
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,$25.96,-0.02,-0.077%,25909638.00,United States,2019,9664,Finance,Real Estate,/market-activity/stocks/afgc
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,$26.86,-0.30,-1.105%,0.00,United States,2020,3135,,,/market-activity/stocks/afgd
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,$24.60,0.07,0.285%,0.00,United States,2020,25269,,,/market-activity/stocks/afge
AFI,Armstrong Flooring Inc. Common Stock,$1.91,-0.03,-1.546%,41465007.00,,2016,32433,Capital Goods,Building Products,/market-activity/stocks/afi
AFL,AFLAC Incorporated Common Stock,$63.745,0.855,1.36%,42169116320.00,United States,,2397021,Finance,Accident &Health Insurance,/market-activity/stocks/afl
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,$16.3415,-0.0585,-0.357%,254487176.00,,2011,24719,Finance,Investment Managers,/market-activity/stocks/aft
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,$9.62,-0.07,-0.722%,300625000.00,,2021,3192,,,/market-activity/stocks/aftr
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$10.255,-0.065,-0.63%,2631560306.00,Canada,,3212264,,,/market-activity/stocks/ag
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,$9.73,0.01,0.103%,503527500.00,,2021,10018,Finance,Business Services,/market-activity/stocks/agac
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,$9.76,-0.01,-0.102%,559736000.00,,2021,106033,Finance,Business Services,/market-activity/stocks/agcb
AGCO,AGCO Corporation Common Stock,$116.635,-1.545,-1.307%,8728283768.00,United States,,475669,Capital Goods,Industrial Machinery/Components,/market-activity/stocks/agco
AGD,Aberdeen Global Dynamic Dividend Fund,$11.70,0.04,0.343%,146830109.00,United States,2006,33693,Finance,Trusts Except Educational Religious and Charitable,/market-activity/stocks/agd
AGI,Alamos Gold Inc. Class A Common Shares,$6.87,0.02,0.292%,2692783776.00,Canada,2015,2129366,,,/market-activity/stocks/agi
AGL,agilon health inc. Common Stock,$16.58,-0.49,-2.871%,6526806913.00,,2021,660905,Health Care,Managed Health Care,/market-activity/stocks/agl
AGM,Federal Agricultural Mortgage Corporation Common Stock,$122.48,-0.08,-0.065%,1318654709.00,United States,,7621,Finance,Finance Companies,/market-activity/stocks/agm
AGO,Assured Guaranty Ltd. Common Stock,$54.3729,0.1229,0.227%,3797989965.00,Bermuda,2004,146318,Finance,Property-Casualty Insurers,/market-activity/stocks/ago
AGR,Avangrid Inc. Common Stock,$46.61,0.40,0.866%,18047604355.00,United States,2015,252735,Public Utilities,Electric Utilities: Central,/market-activity/stocks/agr
AGRO,Adecoagro S.A. Common Shares,$8.01,-0.21,-2.555%,902651193.00,Luxembourg,2011,277679,,Farming/Seeds/Milling,/market-activity/stocks/agro
AGS,PlayAGS Inc. Common Stock,$7.74,-0.25,-3.129%,285828161.00,United States,2018,48198,Consumer Services,Recreational Products/Toys,/market-activity/stocks/ags
AGTI,Agiliti Inc. Common Stock,$18.57,-0.49,-2.571%,2426221475.00,,2021,117134,Health Care,Managed Health Care,/market-activity/stocks/agti
AGX,Argan Inc. Common Stock,$38.27,0.32,0.843%,601403291.00,United States,,49980,Capital Goods,Oilfield Services/Equipment,/market-activity/stocks/agx
AHH,Armada Hoffler Properties Inc. Common Stock,$13.915,0.025,0.18%,936818428.00,United States,2013,154289,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/ahh
AHT,Ashford Hospitality Trust Inc Common Stock,$7.6443,-0.4057,-5.04%,258801560.00,United States,2003,965206,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/aht
AI,C3.ai Inc. Class A Common Stock,$24.665,-1.955,-7.344%,2590745794.00,,2020,1827372,Technology,Computer Software: Prepackaged Software,/market-activity/stocks/ai
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$25.3501,0.00,0.00%,0.00,United States,2015,12,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/aic
AIF,Apollo Tactical Income Fund Inc. Common Stock,$15.46,0.00,0.00%,223613842.00,,2013,55771,Finance,Finance Companies,/market-activity/stocks/aif
AIG,American International Group Inc. New Common Stock,$59.87,0.76,1.286%,51579545695.00,United States,,2056288,Finance,Life Insurance,/market-activity/stocks/aig
AIN,Albany International Corporation Common Stock,$85.02,0.05,0.059%,2753032620.00,United States,,55271,Basic Industries,Textiles,/market-activity/stocks/ain
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,$23.8886,0.0586,0.246%,820303039.00,,2019,96446,Finance,Finance/Investors Services,/market-activity/stocks/aio
AIR,AAR Corp. Common Stock,$40.90,0.13,0.319%,1450676824.00,United States,,80447,Capital Goods,Aerospace,/market-activity/stocks/air
AIRC,Apartment Income REIT Corp. Common Stock,$53.61,1.07,2.037%,8415988473.00,,2020,189436,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/airc
AIT,Applied Industrial Technologies Inc. Common Stock,$99.27,-0.46,-0.461%,3817578641.00,United States,,58718,Capital Goods,Industrial Machinery/Components,/market-activity/stocks/ait
AIV,Apartment Investment and Management Company Common Stock,$6.925,0.135,1.988%,1054246682.00,United States,1994,974384,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/aiv
AIZ,Assurant Inc. Common Stock,$152.36,1.11,0.734%,8680971383.00,United States,2004,156622,Finance,Specialty Insurers,/market-activity/stocks/aiz
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,$25.41,-0.29,-1.128%,0.00,United States,2020,8061,Finance,Accident &Health Insurance,/market-activity/stocks/aizn
AJG,Arthur J. Gallagher & Co. Common Stock,$156.435,-0.415,-0.265%,32609501490.00,United States,,544410,Finance,Specialty Insurers,/market-activity/stocks/ajg
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,$38.2999,-0.4401,-1.136%,3083165849.00,United States,,477826,Capital Goods,Military/Government/Technical,/market-activity/stocks/ajrd
AJX,Great Ajax Corp. Common Stock,$12.76,-0.12,-0.932%,292425539.00,United States,2015,20486,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/ajx
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,$25.42,-0.13,-0.509%,0.00,United States,2017,922,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/ajxa
AKA,a.k.a. Brands Holding Corp. Common Stock,$7.22,-0.38,-5.00%,928837376.00,,2021,131203,Consumer Non-Durables,Department/Specialty Retail Stores,/market-activity/stocks/aka
AKO/A,Embotelladora Andina S.A.,$10.88,0.00,0.00%,,Chile,,19,,,/market-activity/stocks/ako/a
AKO/B,Embotelladora Andina S.A.,$12.63,-0.1001,-0.786%,,Chile,,2874,,,/market-activity/stocks/ako/b
AKR,Acadia Realty Trust Common Stock,$19.725,0.155,0.792%,1744746649.00,United States,,168874,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/akr
AL,Air Lease Corporation Class A Common Stock,$40.14,-0.24,-0.594%,4575444362.00,United States,2011,1043463,Technology,Diversified Commercial Services,/market-activity/stocks/al
ALB,Albemarle Corporation Common Stock,$221.12,-4.08,-1.812%,25865803436.00,United States,,312325,Basic Industries,Industrial Specialties,/market-activity/stocks/alb
ALC,Alcon Inc. Ordinary Shares,$79.165,0.985,1.26%,38798766500.00,Switzerland,2019,563500,Health Care,Ophthalmic Goods,/market-activity/stocks/alc
ALCC,AltC Acquisition Corp. Class A Common Stock,$9.78,-0.05,-0.509%,625431000.00,,2021,1508,,,/market-activity/stocks/alcc
ALE,Allete Inc.,$63.96,0.57,0.899%,3362534925.00,United States,,76339,Public Utilities,Power Generation,/market-activity/stocks/ale
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,$22.765,-0.015,-0.066%,1651144380.00,United States,,81522,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/alex
ALG,Alamo Group Inc. Common Stock,$136.345,-3.435,-2.457%,1625743148.00,United States,,25408,Capital Goods,Industrial Machinery/Components,/market-activity/stocks/alg
ALIT,Alight Inc. Class A Common Stock,$9.605,0.015,0.156%,4341929166.00,,2021,712281,Technology,EDP Services,/market-activity/stocks/alit
ALK,Alaska Air Group Inc. Common Stock,$54.18,-0.63,-1.149%,6821579712.00,United States,,821995,Transportation,Air Freight/Delivery Services,/market-activity/stocks/alk
ALL,Allstate Corporation (The) Common Stock,$118.005,-0.715,-0.602%,33829206218.00,United States,,2375668,Finance,Property-Casualty Insurers,/market-activity/stocks/all
ALLE,Allegion plc Ordinary Shares,$119.59,-0.41,-0.342%,10726728137.00,United States,2013,368299,Consumer Services,Diversified Commercial Services,/market-activity/stocks/alle
ALLY,Ally Financial Inc. Common Stock,$48.845,-0.185,-0.377%,16506728145.00,United States,2014,2322004,Finance,Diversified Financial Services,/market-activity/stocks/ally
ALSN,Allison Transmission Holdings Inc. Common Stock,$39.24,0.35,0.90%,4091173073.00,United States,2012,388132,Capital Goods,Auto Parts:O.E.M.,/market-activity/stocks/alsn
ALTG,Alta Equipment Group Inc. Class A Common Stock,$13.40,-0.47,-3.389%,433669238.00,,2019,25158,Technology,Engineering & Construction,/market-activity/stocks/altg
ALV,Autoliv Inc. Common Stock,$102.76,1.34,1.321%,8989263942.00,Sweden,,538837,Capital Goods,Auto Parts:O.E.M.,/market-activity/stocks/alv
ALX,Alexander's Inc. Common Stock,$262.00,-1.00,-0.38%,1338109980.00,United States,,5933,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/alx
AM,Antero Midstream Corporation Common Stock,$10.305,0.245,2.435%,4920676525.00,United States,2017,2579054,Public Utilities,Natural Gas Distribution,/market-activity/stocks/am
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),$4.75,-0.27,-5.378%,166037224.00,,2021,5366,,,/market-activity/stocks/amam
AMBC,Ambac Financial Group Inc. Common Stock,$14.20,-0.18,-1.252%,657518774.00,United States,,207262,Finance,Property-Casualty Insurers,/market-activity/stocks/ambc
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares,$9.635,-0.015,-0.155%,6192137484.00,,,514475,,,/market-activity/stocks/ambp
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,$16.01,-0.85,-5.042%,8228512152.00,,2013,38335095,Consumer Services,Movies/Entertainment,/market-activity/stocks/amc
AMCR,Amcor plc Ordinary Shares,$12.14,-0.06,-0.492%,18612670422.00,,2019,5468131,Consumer Durables,Miscellaneous manufacturing industries,/market-activity/stocks/amcr
AME,AMETEK Inc.,$138.39,1.30,0.948%,32013089723.00,United States,,631736,Consumer Durables,Metal Fabrications,/market-activity/stocks/ame
AMG,Affiliated Managers Group Inc. Common Stock,$147.77,-0.14,-0.095%,6007044670.00,United States,,104489,Finance,Investment Managers,/market-activity/stocks/amg
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,$39.38,0.39,1.00%,13705393519.00,,2013,954447,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/amh
AMK,AssetMark Financial Holdings Inc. Common Stock,$23.95,-0.22,-0.91%,1761534643.00,United States,2019,13252,Finance,Finance/Investors Services,/market-activity/stocks/amk
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,$102.64,1.01,0.994%,4852306924.00,United States,,196130,Health Care,Assisted Living Services,/market-activity/stocks/amn
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,$18.91,0.00,0.00%,61157675974.00,Mexico,,132,Public Utilities,Telecommunications Equipment,/market-activity/stocks/amov
AMP,Ameriprise Financial Inc. Common Stock,$311.57,3.47,1.126%,34553113000.00,United States,,358125,Finance,Investment Managers,/market-activity/stocks/amp
AMPI,Advanced Merger Partners Inc. Class A Common Stock,$9.70,-0.01,-0.103%,348593750.00,,2021,40900,,,/market-activity/stocks/ampi
AMPS,Altus Power Inc. Class A Common Stock,$6.61,-0.39,-5.571%,1024930604.00,,2021,422415,,,/market-activity/stocks/amps
AMPY,Amplify Energy Corp. Common Stock,$3.84,-0.11,-2.785%,146009199.00,United States,2016,275381,Energy,Oil & Gas Production,/market-activity/stocks/ampy
AMR,Alpha Metallurgical Resources Inc. Common Stock,$70.54,-3.09,-4.197%,1297967249.00,United States,2018,170708,Energy,Coal Mining,/market-activity/stocks/amr
AMRC,Ameresco Inc. Class A Common Stock,$49.66,-0.34,-0.68%,2560442784.00,United States,2010,363960,Basic Industries,Water Sewer Pipeline Comm & Power Line Construction,/market-activity/stocks/amrc
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,$4.68,0.06,1.299%,699057941.00,,2018,239742,Health Care,Biotechnology: Pharmaceutical Preparations,/market-activity/stocks/amrx
AMT,American Tower Corporation (REIT) Common Stock,$252.705,2.555,1.021%,115085318300.00,United States,,581854,Finance,Trusts Except Educational Religious and Charitable,/market-activity/stocks/amt
AMTD,AMTD International Inc. American Depositary Shares each representing one Class A Ordinary Share,$4.215,-0.015,-0.355%,1084493034.00,,2019,22485,Finance,Finance: Consumer Services,/market-activity/stocks/amtd
AMWL,American Well Corporation Class A Common Stock,$4.49,-0.40,-8.18%,1167216188.00,United States,2020,1629728,Technology,Retail: Computer Software & Peripheral Equipment,/market-activity/stocks/amwl
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$18.96,0.00,0.00%,61319383209.00,Mexico,,2117487,Public Utilities,Telecommunications Equipment,/market-activity/stocks/amx
AN,AutoNation Inc. Common Stock,$108.27,-0.40,-0.368%,7095814851.00,United States,,383002,Consumer Services,Other Specialty Stores,/market-activity/stocks/an
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares,$9.75,0.00,0.00%,385429688.00,,2021,101,Finance,Business Services,/market-activity/stocks/anac
ANET,Arista Networks Inc. Common Stock,$124.745,0.445,0.358%,38332090187.00,,2014,1091260,Technology,Computer peripheral equipment,/market-activity/stocks/anet
ANF,Abercrombie & Fitch Company Common Stock,$38.95,-0.51,-1.292%,2200424396.00,United States,,649900,Consumer Services,Clothing/Shoe/Accessory Stores,/market-activity/stocks/anf
ANTM,Anthem Inc. Common Stock,$444.24,5.34,1.217%,107823567666.00,United States,,762113,Health Care,Medical Specialities,/market-activity/stocks/antm
ANVS,Annovis Bio Inc. Common Stock,$14.2668,-1.1032,-7.178%,115569212.00,United States,2020,25612,Consumer Durables,Specialty Chemicals,/market-activity/stocks/anvs
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock,$10.02,0.04,0.401%,1056418610.00,United States,2007,130543,Finance,Investment Managers,/market-activity/stocks/aod
AOMR,Angel Oak Mortgage Inc. Common Stock,$16.88,-0.15,-0.881%,427604666.00,,2021,14080,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/aomr
AON,Aon plc Class A Ordinary Shares (Ireland),$278.03,1.22,0.441%,61259018840.00,United States,,743772,Finance,Specialty Insurers,/market-activity/stocks/aon
AORT,Artivion Inc. Common Stock,$17.39,-0.39,-2.193%,683941396.00,United States,,60607,Health Care,Medical/Dental Instruments,/market-activity/stocks/aort
AOS,A.O. Smith Corporation Common Stock,$75.07,-0.50,-0.662%,11948298997.00,United States,,574823,Capital Goods,Industrial Machinery/Components,/market-activity/stocks/aos
AP,Ampco-Pittsburgh Corporation Common Stock,$5.9093,0.0493,0.841%,112830886.00,United States,,7870,Capital Goods,Metal Fabrications,/market-activity/stocks/ap
APAM,Artisan Partners Asset Management Inc. Class A Common Stock,$41.565,-1.735,-4.007%,2710698509.00,United States,2013,784440,Finance,Investment Managers,/market-activity/stocks/apam
APD,Air Products and Chemicals Inc. Common Stock,$285.675,1.045,0.367%,63329677258.00,United States,,463842,Basic Industries,Specialty Chemicals,/market-activity/stocks/apd
APG,APi Group Corporation Common Stock,$22.105,-0.145,-0.652%,5132004893.00,,2020,322479,Consumer Services,Military/Government/Technical,/market-activity/stocks/apg
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares,$9.73,-0.02,-0.205%,839212500.00,,2021,140865,Finance,Business Services,/market-activity/stocks/apgb
APH,Amphenol Corporation Common Stock,$80.045,0.925,1.169%,47869133810.00,United States,,1225516,Capital Goods,Electrical Products,/market-activity/stocks/aph
APLE,Apple Hospitality REIT Inc. Common Shares,$16.16,-0.05,-0.308%,3690204098.00,United States,2015,950041,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/aple
APN,Apeiron Capital Investment Corp. Class A Common Stock,$9.9599,0.0532,0.537%,214760344.00,,2021,6804,,,/market-activity/stocks/apn
APO,Apollo Global Management Inc. (New) Common Stock,$70.74,0.09,0.127%,40386958331.00,,,1270046,Finance,Investment Managers,/market-activity/stocks/apo
APRN,Blue Apron Holdings Inc. Class A Common Stock,$7.765,-0.335,-4.136%,246107016.00,United States,2017,687980,Consumer Services,Catalog/Specialty Distribution,/market-activity/stocks/aprn
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares,$9.91,0.01,0.101%,1011823388.00,United States,2020,28920,Finance,Business Services,/market-activity/stocks/apsg
APTS,Preferred Apartment Communities Inc. Common Stock,$17.48,0.26,1.51%,925498754.00,United States,2011,171731,Consumer Services,Real Estate Investment Trusts,/market-activity/stocks/apts
APTV,Aptiv PLC Ordinary Shares,$138.95,-1.04,-0.743%,37587939753.00,United Kingdom,2011,1018061,Capital Goods,Auto Parts:O.E.M.,/market-activity/stocks/aptv
AQN,Algonquin Power & Utilities Corp. Common Shares,$14.295,0.115,0.811%,9604728876.00,,2016,1011963,Public Utilities,Electric Utilities: Central,/market-activity/stocks/aqn
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078,$26.66,0.00,0.00%,0.00,,2018,20079,Public Utilities,Electric Utilities: Central,/market-activity/stocks/aqna
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,$26.86,0.09,0.336%,0.00,,2019,34977,Public Utilities,Electric Utilities: Central,/market-activity/stocks/aqnb
AQNU,Algonquin Power & Utilities Corp. Corporate Units,$46.55,0.07,0.151%,0.00,,2021,7528,Public Utilities,Electric Utilities: Central,/market-activity/stocks/aqnu
AQUA,Evoqua Water Technologies Corp. Common Stock,$42.09,0.75,1.814%,5080597195.00,United States,2017,918778,Capital Goods,Office Equipment/Supplies/Services,/market-activity/stocks/aqua
AR,Antero Resources Corporation Common Stock,$21.45,1.36,6.77%,6733798328.00,,2013,8134499,Energy,Oil & Gas Production,/market-activity/stocks/ar
